Date Reported,Holder,pctHeld,Shares,Value,pctChange,ticker,date
2024-12-31,Vanguard Group Inc,0.085,495518986,82191731788,-0.0081,GOOGL,2025-03-11
2024-12-31,Blackrock Inc.,0.0739,430810376,71458514963,0.012200001,GOOGL,2025-03-11
2024-12-31,"FMR, LLC",0.042600002,248416916,41204912643,0.09770001,GOOGL,2025-03-11
2024-12-31,State Street Corporation,0.0387,226007382,37487843348,0.0155,GOOGL,2025-03-11
2024-12-31,"Geode Capital Management, LLC",0.0226,131941520,21885139278,-0.0156,GOOGL,2025-03-11
2024-12-31,Norges Bank Investment Management,0.0221,128809703,21365664807,0.1984,GOOGL,2025-03-11
2024-12-31,Morgan Stanley,0.0214,124797504,20700161379,0.0136,GOOGL,2025-03-11
2024-12-31,Price (T.Rowe) Associates Inc,0.016900001,98638127,16361105643,0.0832,GOOGL,2025-03-11
2024-12-31,Capital Research Global Investors,0.0123000005,72033086,11948127623,0.1619,GOOGL,2025-03-11
2024-12-31,Northern Trust Corporation,0.0119,69616854,11547347233,0.17040001,GOOGL,2025-03-11
